Sample	Gene	TPM
20230102_Neural_Progenitors_ter3	ADARB2	0
20230102_Neural_Progenitors_ter4	ADARB2	0.0977408285385316
20230102_Neurons_ter1	ADARB2	0.301375906533713
20230102_Neurons_ter2	ADARB2	1.77625912895476
20230102_Neurons_ter3	ADARB2	0.741296218790668
20230102_Neurons_ter4	ADARB2	1.09017075749069
20230102_Pericytes_ter1	ADARB2	2.33627610458116
20230102_Pericytes_ter2	ADARB2	0
20230102_Pericytes_ter3	ADARB2	0
20230102_Pericytes_ter4	ADARB2	0
20230102_Retinal_Epi_ter1	ADARB2	0.129007174789051
20230102_Retinal_Epi_ter2	ADARB2	0
20230102_Retinal_Epi_ter3	ADARB2	0.213787239458861
20230102_Retinal_Epi_ter4	ADARB2	0
20230102_SCP_ter1	ADARB2	0
20230102_SCP_ter2	ADARB2	0
20230102_SCP_ter3	ADARB2	0
20230102_SCP_ter4	ADARB2	0
20230102_Smooth_Muscle_ter1	ADARB2	0.583620147557772
20230102_Smooth_Muscle_ter2	ADARB2	0
20230102_Smooth_Muscle_ter3	ADARB2	0
20230102_Smooth_Muscle_ter4	ADARB2	0
20230102_Adipogenic_MSC_Fib_ter1	ADARB1	0.949378473043207
20230102_Adipogenic_MSC_Fib_ter2	ADARB1	1.39034880190247
20230102_Adipogenic_MSC_Fib_ter3	ADARB1	1.95554005396999
20230102_Adipogenic_MSC_Fib_ter4	ADARB1	1.35463033272995
20230102_Chondrogenic_MSC_Fib_ter1	ADARB1	2.62690877199193
20230102_Chondrogenic_MSC_Fib_ter2	ADARB1	0.444429789078039
20230102_Chondrogenic_MSC_Fib_ter3	ADARB1	1.10538493296353
20230102_Chondrogenic_MSC_Fib_ter4	ADARB1	1.06270821117312
20230102_Cycling_MSC_Fib_ter1	ADARB1	1.66514162142223
20230102_Cycling_MSC_Fib_ter2	ADARB1	1.31645530904258
20230102_Cycling_MSC_Fib_ter3	ADARB1	0.783778082044575
20230102_Cycling_MSC_Fib_ter4	ADARB1	1.50640456434871
20230102_Gut_Epi_ter1	ADARB1	0.466291318152566
20230102_Gut_Epi_ter2	ADARB1	0.991472404836233
20230102_Gut_Epi_ter3	ADARB1	0.73355421663497
20230102_Gut_Epi_ter4	ADARB1	0.528791988094173
20230102_HSC_ter1	ADARB1	6.64109608873581
20230102_HSC_ter2	ADARB1	3.5338708970952
20230102_HSC_ter3	ADARB1	2.01614131836154
20230102_HSC_ter4	ADARB1	0.561270974341258
20230102_Kidney_Prog_ter1	ADARB1	2.58093937644822
20230102_Kidney_Prog_ter2	ADARB1	0
20230102_Kidney_Prog_ter4	ADARB1	3.11131343441947
20230102_MSC_Fib_ter1	ADARB1	1.81957205870461
20230102_MSC_Fib_ter2	ADARB1	3.68785477844837
20230102_MSC_Fib_ter3	ADARB1	2.10187016108383
20230102_MSC_Fib_ter4	ADARB1	2.18475547033065
20230102_Muscle_ter1	ADARB1	1.4553327506556
20230102_Muscle_ter2	ADARB1	3.16394256171699
20230102_Muscle_ter3	ADARB1	2.10625507369688
20230102_Muscle_ter4	ADARB1	1.29096235635656
20230102_MyoFib_ter1	ADARB1	2.78531558577832
20230102_MyoFib_ter2	ADARB1	1.53211369754627
20230102_MyoFib_ter3	ADARB1	9.1002724604344
20230102_MyoFib_ter4	ADARB1	1.52732705245065
20230102_Neural_Progenitors_ter1	ADARB1	16.4839819625396
20230102_Neural_Progenitors_ter2	ADARB1	6.40093862470084
20230102_Neural_Progenitors_ter3	ADARB1	2.67583903577655
20230102_Neural_Progenitors_ter4	ADARB1	5.96118871924236
20230102_Neurons_ter1	ADARB1	6.65513218142866
20230102_Neurons_ter2	ADARB1	4.24504704576324
20230102_Neurons_ter3	ADARB1	1.8188522906998
20230102_Neurons_ter4	ADARB1	2.86591561210173
20230102_Pericytes_ter1	ADARB1	0
20230102_Pericytes_ter2	ADARB1	0
20230102_Pericytes_ter3	ADARB1	2.99756648394344
20230102_Pericytes_ter4	ADARB1	0.641340135976368
20230102_Retinal_Epi_ter1	ADARB1	7.46114388295101
20230102_Retinal_Epi_ter2	ADARB1	5.75940856329722
20230102_Retinal_Epi_ter3	ADARB1	6.2254362345296
20230102_Retinal_Epi_ter4	ADARB1	5.51962834228834
20230102_SCP_ter1	ADARB1	14.4847530828755
20230102_SCP_ter2	ADARB1	20.1007765985365
20230102_SCP_ter3	ADARB1	30.5835302235827
20230102_SCP_ter4	ADARB1	7.03355262720566
20230102_Smooth_Muscle_ter1	ADARB1	0.306852129527464
20230102_Smooth_Muscle_ter2	ADARB1	2.50415123031939
20230102_Smooth_Muscle_ter3	ADARB1	1.43192358743941
20230102_Smooth_Muscle_ter4	ADARB1	0.418992796955313
