Sample,A2GEditingIndex,Subject,CellType,Organ,Development_day
250,H27423_Heart_SRR12355435_Stromal-Cells,0.922736220472,H27423,Stromal-Cells,Heart,115
251,H27472_Muscle_SRR12355474_Immune-Cells,0.449852191423,H27472,Immune-Cells,Muscle,94
252,H27477_Muscle_SRR12355490_Schwann-Cells,0.990099009901,H27477,Schwann-Cells,Muscle,125
253,H27771_Intestine_SRR12355502_Lymphatic-Endo,0.840336134454,H27771,Lymphatic-Endo,Intestine,112
254,H27473_Heart_SRR12355477_Vascular-Endo,0.648604362718,H27473,Vascular-Endo,Heart,90
255,H27431_Heart_SRR12355441_Heart-Cells,0.779605538234,H27431,Heart-Cells,Heart,110
256,H27098_Heart_SRR12355427_Immune-Cells,0.694635173487,H27098,Immune-Cells,Heart,120
257,H26547_Heart_SRR12355414_Ex-Neurons,1.4799154334,H26547,Ex-Neurons,Heart,113
258,H27474_Muscle_SRR12355486_Lymphatic-Endo,0.519718740446,H27474,Lymphatic-Endo,Muscle,89
259,H27798_Intestine_SRR12355507_Neurons,0.905496839127,H27798,Neurons,Intestine,85
260,H27915_Intestine_SRR12355522_Vascular-Endo,0.751933158414,H27915,Vascular-Endo,Intestine,72
261,H27798_Intestine_SRR12355507_Kidney,0.739848368617,H27798,Kidney,Intestine,85
262,H27876_Intestine_SRR12355513_Gut-Epi,0.985167876379,H27876,Gut-Epi,Intestine,117
263,H27473_Heart_SRR12355477_Smooth-Muscle-Cells,0.677641382247,H27473,Smooth-Muscle-Cells,Heart,90
264,H26547_Heart_SRR12355414_Vascular-Endo,1.03618521303,H26547,Vascular-Endo,Heart,113
265,H27876_Intestine_SRR12355513_Stromal-Cells,1.05776170895,H27876,Stromal-Cells,Intestine,117
266,H27915_Intestine_SRR12355522_Immune-Cells,0.659476317328,H27915,Immune-Cells,Intestine,72
267,H27295_Heart_SRR12355432_Cardiac-Muscle-Cells,0.372548745911,H27295,Cardiac-Muscle-Cells,Heart,122
268,H27909_Intestine_SRR12355517_Glia,1.17803485287,H27909,Glia,Intestine,96
269,H27473_Heart_SRR12355477_Schwann-Cells,0.839026487441,H27473,Schwann-Cells,Heart,90
270,H27798_Intestine_SRR12355507_Gut-Epi,0.763382551682,H27798,Gut-Epi,Intestine,85
271,H27098_Heart_SRR12355427_Vascular-Endo,0.770356994705,H27098,Vascular-Endo,Heart,120
272,H26547_Heart_SRR12355414_Lymphatic-Endo,1.31035905902,H26547,Lymphatic-Endo,Heart,113
273,H27464_Heart_SRR12355451_Vascular-Endo,1.13191293286,H27464,Vascular-Endo,Heart,122
274,H27431_Heart_SRR12355441_Smooth-Muscle-Cells,0.832466880591,H27431,Smooth-Muscle-Cells,Heart,110
275,H27423_Heart_SRR12355435_Cardiac-Muscle-Cells,0.535722640715,H27423,Cardiac-Muscle-Cells,Heart,115
276,H27798_Intestine_SRR12355507_Immune-Cells,0.651913981699,H27798,Immune-Cells,Intestine,85
277,H27098_Muscle_SRR12355430_Skeletal-Muscle-Cells,0.426687354538,H27098,Skeletal-Muscle-Cells,Muscle,120
278,H27771_Intestine_SRR12355502_Blood-Cells,0.227014755959,H27771,Blood-Cells,Intestine,112
279,H27098_Heart_SRR12355427_Blood-Cells,0.962049223868,H27098,Blood-Cells,Heart,120
280,H27915_Intestine_SRR12355522_Neurons,0.844964433765,H27915,Neurons,Intestine,72
281,H27634_Muscle_SRR12355499_Smooth-Muscle-Cells,0.706120785794,H27634,Smooth-Muscle-Cells,Muscle,115
282,H27472_Muscle_SRR12355474_Schwann-Cells,0.918196994992,H27472,Schwann-Cells,Muscle,94
283,H27799_Intestine_SRR12355509_Glia,0.768715364075,H27799,Glia,Intestine,74
284,H27915_Intestine_SRR12355522_Mesothelial-Cells,0.996070264172,H27915,Mesothelial-Cells,Intestine,72
285,H27471_Heart_SRR12355460_Heart-Cells,0.753351299522,H27471,Heart-Cells,Heart,110
286,H27471_Muscle_SRR12355463_Lymphatic-Endo,0.737309089611,H27471,Lymphatic-Endo,Muscle,110
287,H27098_Heart_SRR12355427_Heart-Epi,0.749445685981,H27098,Heart-Epi,Heart,120
288,H27876_Intestine_SRR12355513_Neurons,0.853460783477,H27876,Neurons,Intestine,117
289,H27464_Heart_SRR12355451_Schwann-Cells,0.901803607214,H27464,Schwann-Cells,Heart,122
290,H27295_Heart_SRR12355432_Blood-Cells,0.725819798094,H27295,Blood-Cells,Heart,122
291,H27431_Heart_SRR12355441_Cardiac-Muscle-Cells,0.402627812186,H27431,Cardiac-Muscle-Cells,Heart,110
292,H27876_Intestine_SRR12355513_Mesothelial-Cells,0.846185341886,H27876,Mesothelial-Cells,Intestine,117
293,H27098_Heart_SRR12355427_Schwann-Cells,1.07318751747,H27098,Schwann-Cells,Heart,120
294,H27431_Heart_SRR12355441_Ex-Neurons,0.248601615911,H27431,Ex-Neurons,Heart,110
295,H27799_Intestine_SRR12355509_Kidney,0.906076331262,H27799,Kidney,Intestine,74
296,H27772_Intestine_SRR12355505_Neurons,0.531738118976,H27772,Neurons,Intestine,100
297,H27915_Intestine_SRR12355522_Glia,0.692732016347,H27915,Glia,Intestine,72
298,H27473_Heart_SRR12355477_Heart-Epi,0.721877997436,H27473,Heart-Epi,Heart,90
299,H26547_Heart_SRR12355414_Schwann-Cells,0.950960283423,H26547,Schwann-Cells,Heart,113
300,H27431_Heart_SRR12355441_Stromal-Cells,0.821428438803,H27431,Stromal-Cells,Heart,110
301,H27472_Muscle_SRR12355474_Skeletal-Muscle-Cells,0.326609307943,H27472,Skeletal-Muscle-Cells,Muscle,94
302,H27477_Muscle_SRR12355490_Immune-Cells,1.1691633175,H27477,Immune-Cells,Muscle,125
303,H27471_Heart_SRR12355460_Heart-Epi,0.782927046631,H27471,Heart-Epi,Heart,110
304,H27772_Intestine_SRR12355505_Stromal-Cells,0.72759141948,H27772,Stromal-Cells,Intestine,100
305,H27798_Intestine_SRR12355507_Smooth-Muscle-Cells,0.884658164981,H27798,Smooth-Muscle-Cells,Intestine,85
306,H27464_Heart_SRR12355451_Immune-Cells,0.974707668454,H27464,Immune-Cells,Heart,122
307,H27634_Muscle_SRR12355499_Schwann-Cells,0.739586657406,H27634,Schwann-Cells,Muscle,115
308,H27471_Heart_SRR12355460_Blood-Cells,0.723747738288,H27471,Blood-Cells,Heart,110
309,H26547_Heart_SRR12355414_Heart-Cells,1.00428967954,H26547,Heart-Cells,Heart,113
310,H27771_Intestine_SRR12355502_Vascular-Endo,0.956892468025,H27771,Vascular-Endo,Intestine,112
311,H27464_Heart_SRR12355451_Stromal-Cells,1.17727847058,H27464,Stromal-Cells,Heart,122
312,H27771_Intestine_SRR12355502_Immune-Cells,0.873589472608,H27771,Immune-Cells,Intestine,112
313,H27098_Muscle_SRR12355430_Schwann-Cells,0.976759851802,H27098,Schwann-Cells,Muscle,120
314,H27098_Heart_SRR12355427_Lymphatic-Endo,0.750045123035,H27098,Lymphatic-Endo,Heart,120
315,H27098_Heart_SRR12355427_Ex-Neurons,0.468637346792,H27098,Ex-Neurons,Heart,120
316,H27473_Heart_SRR12355477_Stromal-Cells,0.652845859362,H27473,Stromal-Cells,Heart,90
317,H27472_Heart_SRR12355471_Stromal-Cells,0.908372827804,H27472,Stromal-Cells,Heart,94
318,H27913_Intestine_SRR12355520_Vascular-Endo,1.32743362832,H27913,Vascular-Endo,Intestine,125
319,H27772_Intestine_SRR12355505_Lymphatic-Endo,0.844999369403,H27772,Lymphatic-Endo,Intestine,100
320,H27472_Muscle_SRR12355474_Vascular-Endo,0.604296283841,H27472,Vascular-Endo,Muscle,94
321,H27471_Muscle_SRR12355463_Skeletal-Muscle-Cells,0.31109789237,H27471,Skeletal-Muscle-Cells,Muscle,110
322,H27771_Intestine_SRR12355502_Glia,0.767354708227,H27771,Glia,Intestine,112
323,H27098_Muscle_SRR12355430_Immune-Cells,0.646521433591,H27098,Immune-Cells,Muscle,120
324,H27876_Intestine_SRR12355513_Vascular-Endo,1.13363521002,H27876,Vascular-Endo,Intestine,117
325,H27464_Heart_SRR12355451_Heart-Epi,0.939669148317,H27464,Heart-Epi,Heart,122
326,H27909_Intestine_SRR12355517_Neurons,1.52931671283,H27909,Neurons,Intestine,96
327,H27473_Muscle_SRR12355479_Vascular-Endo,0.724751851268,H27473,Vascular-Endo,Muscle,90
328,H27471_Heart_SRR12355460_Immune-Cells,0.656209541707,H27471,Immune-Cells,Heart,110
329,H27798_Intestine_SRR12355507_Vascular-Endo,0.799454239239,H27798,Vascular-Endo,Intestine,85
330,H27909_Intestine_SRR12355517_Lymphatic-Endo,1.05485232068,H27909,Lymphatic-Endo,Intestine,96
331,H27471_Muscle_SRR12355463_Immune-Cells,0.605603068242,H27471,Immune-Cells,Muscle,110
332,H27098_Heart_SRR12355427_Cardiac-Muscle-Cells,0.40428317106,H27098,Cardiac-Muscle-Cells,Heart,120
333,H27915_Intestine_SRR12355522_Lymphatic-Endo,0.856357502405,H27915,Lymphatic-Endo,Intestine,72
334,H27473_Muscle_SRR12355479_Stromal-Cells,1.08347697611,H27473,Stromal-Cells,Muscle,90
335,H27915_Intestine_SRR12355522_Gut-Epi,0.739724848536,H27915,Gut-Epi,Intestine,72
336,H27098_Heart_SRR12355427_Stromal-Cells,0.731845911922,H27098,Stromal-Cells,Heart,120
337,H27772_Intestine_SRR12355505_Immune-Cells,0.676450933666,H27772,Immune-Cells,Intestine,100
338,H27295_Heart_SRR12355432_Schwann-Cells,0.904385871305,H27295,Schwann-Cells,Heart,122
339,H27799_Intestine_SRR12355509_Gut-Epi,0.876329663396,H27799,Gut-Epi,Intestine,74
340,H27915_Intestine_SRR12355522_Stromal-Cells,0.778813092679,H27915,Stromal-Cells,Intestine,72
341,H27798_Intestine_SRR12355507_Glia,0.677978610463,H27798,Glia,Intestine,85
342,H27464_Heart_SRR12355451_Ex-Neurons,1.08549342774,H27464,Ex-Neurons,Heart,122
343,H27798_Intestine_SRR12355507_Lymphatic-Endo,0.752361865427,H27798,Lymphatic-Endo,Intestine,85
344,H27474_Muscle_SRR12355486_Immune-Cells,0.623602406223,H27474,Immune-Cells,Muscle,89
345,H27799_Intestine_SRR12355509_Immune-Cells,0.70787108955,H27799,Immune-Cells,Intestine,74
346,H27471_Heart_SRR12355460_Neurons,1.01690655142,H27471,Neurons,Heart,110
347,H27477_Muscle_SRR12355490_Skeletal-Muscle-Cells,0.336820442463,H27477,Skeletal-Muscle-Cells,Muscle,125
348,H27473_Heart_SRR12355477_Blood-Cells,0.995834681333,H27473,Blood-Cells,Heart,90
349,H27295_Heart_SRR12355432_Heart-Cells,0.782131192963,H27295,Heart-Cells,Heart,122
350,H27473_Muscle_SRR12355479_Lymphatic-Endo,0.736377025037,H27473,Lymphatic-Endo,Muscle,90
351,H26547_Heart_SRR12355414_Stromal-Cells,0.885467909023,H26547,Stromal-Cells,Heart,113
352,H27634_Muscle_SRR12355499_Lymphatic-Endo,0.81505359436,H27634,Lymphatic-Endo,Muscle,115
353,H27909_Intestine_SRR12355517_Kidney,0.96951617414,H27909,Kidney,Intestine,96
354,H27474_Muscle_SRR12355486_Schwann-Cells,0.800944271141,H27474,Schwann-Cells,Muscle,89
355,H27771_Intestine_SRR12355502_Mesothelial-Cells,1.01890859214,H27771,Mesothelial-Cells,Intestine,112
356,H26547_Heart_SRR12355414_Immune-Cells,0.682466807296,H26547,Immune-Cells,Heart,113
357,H27464_Heart_SRR12355451_Lymphatic-Endo,0.945278857263,H27464,Lymphatic-Endo,Heart,122
358,H27473_Muscle_SRR12355479_Smooth-Muscle-Cells,0.375234521576,H27473,Smooth-Muscle-Cells,Muscle,90
359,H27098_Heart_SRR12355427_Smooth-Muscle-Cells,0.761059576266,H27098,Smooth-Muscle-Cells,Heart,120
360,H27431_Muscle_SRR12355444_Smooth-Muscle-Cells,1.04287369641,H27431,Smooth-Muscle-Cells,Muscle,110
361,H27431_Heart_SRR12355441_Blood-Cells,0.873378814004,H27431,Blood-Cells,Heart,110
362,H27798_Intestine_SRR12355507_Mesothelial-Cells,0.830209335501,H27798,Mesothelial-Cells,Intestine,85
363,H27471_Muscle_SRR12355463_Blood-Cells,0.474803747784,H27471,Blood-Cells,Muscle,110
364,H27423_Heart_SRR12355435_Heart-Cells,1.85497470489,H27423,Heart-Cells,Heart,115
365,H27799_Intestine_SRR12355509_Vascular-Endo,0.955993141788,H27799,Vascular-Endo,Intestine,74
366,H27098_Heart_SRR12355427_Heart-Cells,0.702433948083,H27098,Heart-Cells,Heart,120
367,H27431_Muscle_SRR12355444_Skeletal-Muscle-Cells,0.328632069013,H27431,Skeletal-Muscle-Cells,Muscle,110
368,H27471_Muscle_SRR12355463_Schwann-Cells,0.752143115208,H27471,Schwann-Cells,Muscle,110
369,H27472_Muscle_SRR12355474_Lymphatic-Endo,0.61757719715,H27472,Lymphatic-Endo,Muscle,94
370,H26547_Heart_SRR12355414_Cardiac-Muscle-Cells,0.514680828964,H26547,Cardiac-Muscle-Cells,Heart,113
371,H27474_Muscle_SRR12355486_Smooth-Muscle-Cells,0.757086434917,H27474,Smooth-Muscle-Cells,Muscle,89
372,H27472_Muscle_SRR12355474_Smooth-Muscle-Cells,0.635644302216,H27472,Smooth-Muscle-Cells,Muscle,94
373,H27295_Heart_SRR12355432_Vascular-Endo,0.796184176788,H27295,Vascular-Endo,Heart,122
374,H27471_Muscle_SRR12355463_Smooth-Muscle-Cells,0.709931301274,H27471,Smooth-Muscle-Cells,Muscle,110
375,H27472_Heart_SRR12355471_Immune-Cells,0.581395348837,H27472,Immune-Cells,Heart,94
376,H27799_Intestine_SRR12355509_Mesothelial-Cells,0.95057765786,H27799,Mesothelial-Cells,Intestine,74
377,H26547_Heart_SRR12355414_Smooth-Muscle-Cells,0.977268659388,H26547,Smooth-Muscle-Cells,Heart,113
378,H27915_Intestine_SRR12355522_Kidney,0.761609712632,H27915,Kidney,Intestine,72
379,H27915_Intestine_SRR12355522_Blood-Cells,0.488872674206,H27915,Blood-Cells,Intestine,72
380,H27431_Heart_SRR12355441_Vascular-Endo,0.888007075592,H27431,Vascular-Endo,Heart,110
381,H27772_Intestine_SRR12355505_Smooth-Muscle-Cells,0.512665862485,H27772,Smooth-Muscle-Cells,Intestine,100
382,H27098_Muscle_SRR12355430_Smooth-Muscle-Cells,0.766577232656,H27098,Smooth-Muscle-Cells,Muscle,120
383,H27913_Intestine_SRR12355520_Mesothelial-Cells,0.542888165038,H27913,Mesothelial-Cells,Intestine,125
384,H27473_Heart_SRR12355477_Heart-Cells,0.659551388835,H27473,Heart-Cells,Heart,90
385,H27799_Intestine_SRR12355509_Lymphatic-Endo,0.967570721673,H27799,Lymphatic-Endo,Intestine,74
386,H27473_Heart_SRR12355477_Immune-Cells,0.637168361638,H27473,Immune-Cells,Heart,90
387,H27472_Heart_SRR12355471_Cardiac-Muscle-Cells,0.351935646053,H27472,Cardiac-Muscle-Cells,Heart,94
388,H27909_Intestine_SRR12355517_Gut-Epi,1.06038601187,H27909,Gut-Epi,Intestine,96
389,H27472_Heart_SRR12355471_Smooth-Muscle-Cells,0.634249471459,H27472,Smooth-Muscle-Cells,Heart,94
390,H27772_Intestine_SRR12355505_Vascular-Endo,0.841337781252,H27772,Vascular-Endo,Intestine,100
391,H27798_Intestine_SRR12355507_Stromal-Cells,0.74511689943,H27798,Stromal-Cells,Intestine,85
392,H27098_Muscle_SRR12355430_Stromal-Cells,1.28156339542,H27098,Stromal-Cells,Muscle,120
393,H26547_Heart_SRR12355414_Blood-Cells,0.736015701668,H26547,Blood-Cells,Heart,113
394,H27472_Heart_SRR12355471_Heart-Epi,0.60553633218,H27472,Heart-Epi,Heart,94
395,H27423_Heart_SRR12355435_Heart-Epi,0.699300699301,H27423,Heart-Epi,Heart,115
396,H27948_Intestine_SRR12355524_Gut-Epi,0.975015234613,H27948,Gut-Epi,Intestine,117
397,H27876_Intestine_SRR12355513_Glia,1.18290369378,H27876,Glia,Intestine,117
398,H27471_Heart_SRR12355460_Schwann-Cells,0.941102221892,H27471,Schwann-Cells,Heart,110
399,H27423_Heart_SRR12355435_Immune-Cells,0.690607734807,H27423,Immune-Cells,Heart,115
400,H27471_Heart_SRR12355460_Vascular-Endo,0.80876994962,H27471,Vascular-Endo,Heart,110
401,H27771_Intestine_SRR12355502_Stromal-Cells,0.887004521272,H27771,Stromal-Cells,Intestine,112
402,H27295_Heart_SRR12355432_Neurons,0.994483273643,H27295,Neurons,Heart,122
403,H27909_Intestine_SRR12355517_Vascular-Endo,1.30079514717,H27909,Vascular-Endo,Intestine,96
404,H27634_Muscle_SRR12355499_Stromal-Cells,1.02207938879,H27634,Stromal-Cells,Muscle,115
405,H27473_Heart_SRR12355477_Cardiac-Muscle-Cells,0.393524963401,H27473,Cardiac-Muscle-Cells,Heart,90
406,H27098_Placenta_SRR12355431_Blood-Cells,1.01648351648,H27098,Blood-Cells,Placenta,120
407,H27472_Placenta_SRR12355475_Stromal-Cells,0.753950701677,H27472,Stromal-Cells,Placenta,94
408,H26350_Placenta_SRR12355410_Smooth-Muscle-Cells,0.749352758615,H26350,Smooth-Muscle-Cells,Placenta,122
409,H27474_Placenta_SRR12355487_Blood-Cells,0.662534729643,H27474,Blood-Cells,Placenta,89
410,H26547_Placenta_SRR12355417_Stromal-Cells,1.41260805397,H26547,Stromal-Cells,Placenta,113
411,H27431_Placenta_SRR12355445_Stromal-Cells,1.09844427034,H27431,Stromal-Cells,Placenta,110
412,H27471_Placenta_SRR12355465_Vascular-Endo,0.713650009758,H27471,Vascular-Endo,Placenta,110
413,H27098_Placenta_SRR12355431_Hepatoblasts,0.902934537246,H27098,Hepatoblasts,Placenta,120
414,H27472_Placenta_SRR12355475_Smooth-Muscle-Cells,0.912584053794,H27472,Smooth-Muscle-Cells,Placenta,94
415,H26350_Placenta_SRR12355410_Stromal-Cells,1.04176834075,H26350,Stromal-Cells,Placenta,122
416,H27464_Placenta_SRR12355455_Stromal-Cells,2.32477446218,H27464,Stromal-Cells,Placenta,122
417,H27474_Placenta_SRR12355487_Hepatoblasts,0.699093157461,H27474,Hepatoblasts,Placenta,89
418,H26547_Placenta_SRR12355417_Immune-Cells,0.805477245268,H26547,Immune-Cells,Placenta,113
419,H27474_Placenta_SRR12355487_Immune-Cells,0.671523598353,H27474,Immune-Cells,Placenta,89
420,H26350_Placenta_SRR12355410_Blood-Cells,0.907852927826,H26350,Blood-Cells,Placenta,122
421,H27472_Placenta_SRR12355475_Immune-Cells,0.688647746244,H27472,Immune-Cells,Placenta,94
422,H27431_Placenta_SRR12355445_Trophoblasts,0.85703373173,H27431,﻿Trophoblasts,Placenta,110
423,H26547_Placenta_SRR12355417_Vascular-Endo,1.58473479948,H26547,Vascular-Endo,Placenta,113
424,H27472_Placenta_SRR12355475_Vascular-Endo,0.413428146188,H27472,Vascular-Endo,Placenta,94
425,H27474_Placenta_SRR12355487_Smooth-Muscle-Cells,0.552850351402,H27474,Smooth-Muscle-Cells,Placenta,89
426,H27464_Placenta_SRR12355455_Endometrial-Epi,2.11920529801,H27464,Endometrial-Epi,Placenta,122
427,H27474_Placenta_SRR12355487_Trophoblasts,0.587112449996,H27474,﻿Trophoblasts,Placenta,89
428,H27473_Placenta_SRR12355480_Hepatoblasts,0.833642089663,H27473,Hepatoblasts,Placenta,90
429,H26547_Placenta_SRR12355417_Trophoblasts,1.12214209488,H26547,﻿Trophoblasts,Placenta,113
430,H27473_Placenta_SRR12355480_Blood-Cells,1.12471526196,H27473,Blood-Cells,Placenta,90
431,H27058_Placenta_SRR12355424_Stromal-Cells,1.56226615371,H27058,Stromal-Cells,Placenta,115
432,H27472_Placenta_SRR12355475_Endometrial-Epi,1.19922630561,H27472,Endometrial-Epi,Placenta,94
433,H27473_Placenta_SRR12355480_Vascular-Endo,0.787929993965,H27473,Vascular-Endo,Placenta,90
434,H27423_Placenta_SRR12355438_Trophoblasts,1.50829562594,H27423,﻿Trophoblasts,Placenta,115
435,H27472_Placenta_SRR12355475_Trophoblasts,0.584505556014,H27472,﻿Trophoblasts,Placenta,94
436,H27471_Placenta_SRR12355465_Stromal-Cells,0.76591506791,H27471,Stromal-Cells,Placenta,110
437,H27431_Placenta_SRR12355445_Immune-Cells,0.900450225113,H27431,Immune-Cells,Placenta,110
438,H26350_Placenta_SRR12355410_Hepatoblasts,0.838867528836,H26350,Hepatoblasts,Placenta,122
439,H27098_Placenta_SRR12355431_Immune-Cells,0.878950332828,H27098,Immune-Cells,Placenta,120
440,H27471_Placenta_SRR12355465_Smooth-Muscle-Cells,0.602585494314,H27471,Smooth-Muscle-Cells,Placenta,110
441,H27058_Placenta_SRR12355424_Immune-Cells,1.27976018908,H27058,Immune-Cells,Placenta,115
442,H27431_Placenta_SRR12355445_Vascular-Endo,1.02005651664,H27431,Vascular-Endo,Placenta,110
443,H27474_Placenta_SRR12355487_Vascular-Endo,0.643151287074,H27474,Vascular-Endo,Placenta,89
444,H27058_Placenta_SRR12355424_Vascular-Endo,1.14595007863,H27058,Vascular-Endo,Placenta,115
445,H27471_Placenta_SRR12355465_Blood-Cells,0.769199462781,H27471,Blood-Cells,Placenta,110
446,H26350_Placenta_SRR12355410_Endometrial-Epi,0.831639253373,H26350,Endometrial-Epi,Placenta,122
447,H27473_Placenta_SRR12355480_Endometrial-Epi,0.806231676553,H27473,Endometrial-Epi,Placenta,90
448,H27098_Placenta_SRR12355431_Vascular-Endo,0.824603930396,H27098,Vascular-Endo,Placenta,120
449,H27098_Placenta_SRR12355431_Smooth-Muscle-Cells,0.714712471994,H27098,Smooth-Muscle-Cells,Placenta,120
450,H27471_Placenta_SRR12355465_Immune-Cells,0.797482541598,H27471,Immune-Cells,Placenta,110
451,H27471_Placenta_SRR12355465_Hepatoblasts,0.403985995152,H27471,Hepatoblasts,Placenta,110
452,H27474_Placenta_SRR12355487_Endometrial-Epi,1.05105105105,H27474,Endometrial-Epi,Placenta,89
453,H27474_Placenta_SRR12355487_Stromal-Cells,0.655133649763,H27474,Stromal-Cells,Placenta,89
454,H27471_Placenta_SRR12355465_Endometrial-Epi,0.561973150172,H27471,Endometrial-Epi,Placenta,110
455,H27431_Placenta_SRR12355445_Smooth-Muscle-Cells,0.916380297824,H27431,Smooth-Muscle-Cells,Placenta,110
456,H26350_Placenta_SRR12355410_Trophoblasts,0.748910968603,H26350,﻿Trophoblasts,Placenta,122
457,H26547_Placenta_SRR12355417_Endometrial-Epi,1.29417620707,H26547,Endometrial-Epi,Placenta,113
458,H27473_Placenta_SRR12355480_Immune-Cells,0.958730390991,H27473,Immune-Cells,Placenta,90
459,H27464_Placenta_SRR12355455_Trophoblasts,1.06968862529,H27464,﻿Trophoblasts,Placenta,122
460,H27058_Placenta_SRR12355424_Smooth-Muscle-Cells,0.807913612359,H27058,Smooth-Muscle-Cells,Placenta,115
461,H26350_Placenta_SRR12355410_Vascular-Endo,1.02526246719,H26350,Vascular-Endo,Placenta,122
462,H27473_Placenta_SRR12355480_Smooth-Muscle-Cells,0.688305342818,H27473,Smooth-Muscle-Cells,Placenta,90
463,H26350_Placenta_SRR12355410_Immune-Cells,0.641194092605,H26350,Immune-Cells,Placenta,122
464,H27423_Placenta_SRR12355438_Stromal-Cells,0.82135523614,H27423,Stromal-Cells,Placenta,115
465,H27464_Placenta_SRR12355455_Vascular-Endo,0.762388818297,H27464,Vascular-Endo,Placenta,122
466,H27473_Placenta_SRR12355480_Stromal-Cells,0.863487372034,H27473,Stromal-Cells,Placenta,90
467,H27098_Placenta_SRR12355431_Endometrial-Epi,0.849495111396,H27098,Endometrial-Epi,Placenta,120
468,H27473_Placenta_SRR12355480_Trophoblasts,0.865905826442,H27473,﻿Trophoblasts,Placenta,90
469,H27098_Placenta_SRR12355431_Stromal-Cells,0.894701903887,H27098,Stromal-Cells,Placenta,120
470,H27058_Placenta_SRR12355424_Trophoblasts,0.920688010815,H27058,﻿Trophoblasts,Placenta,115
471,H27471_Placenta_SRR12355465_Trophoblasts,0.568605549113,H27471,﻿Trophoblasts,Placenta,110
472,H27098_Placenta_SRR12355431_Trophoblasts,0.681689150039,H27098,﻿Trophoblasts,Placenta,120
