Sample,A2GEditingIndex,Subject,CellType,Organ,Development_day
57,H27471_Cerebellum-1_SRR12554895_Microglia,0.618510908088,H27471,Microglia,Cerebellum,110
58,H27474_Cerebrum-1_SRR12575329_Ex-Neurons,0.535341858144,H27474,Ex-Neurons,Cerebrum,89
59,H27471_Cerebellum-1_SRR12554895_Astrocytes,0.744731061214,H27471,Astrocytes,Cerebellum,110
60,H27471_Cerebellum-4_SRR12508221_In-Interneurons,0.739261541978,H27471,In-Interneurons,Cerebellum,110
61,H27477_Cerebellum-1_SRR12554978_Neurons,0.979498205931,H27477,Neurons,Cerebellum,125
62,H27471_Cerebellum-1_SRR12554895_Oligodendrocytes,0.652977479605,H27471,Oligodendrocytes,Cerebellum,110
63,H27477_Cerebellum-1_SRR12554978_Vascular-Endo,0.721279020211,H27477,Vascular-Endo,Cerebellum,125
64,H27477_Cerebellum-3_SRR12554980_Neurons,1.00993126923,H27477,Neurons,Cerebellum,125
65,H27474_Cerebrum-1_SRR12575329_Oligodendrocytes,0.550786239531,H27474,Oligodendrocytes,Cerebrum,89
66,H27471_Cerebellum-1_SRR12554895_In-Neurons,0.985225936797,H27471,In-Neurons,Cerebellum,110
67,H27474_Cerebellum_SRR12355483_In-Neurons,0.782824422856,H27474,In-Neurons,Cerebellum,89
68,H27477_Cerebellum-4_SRR12554981_Microglia,0.735596020167,H27477,Microglia,Cerebellum,125
69,H27474_Cerebrum-3A_SRR12907909_Vascular-Endo,0.601089600547,H27474,Vascular-Endo,Cerebrum,89
70,H27432_Cerebrum_SRR12355448_Microglia,2.11810012837,H27432,Microglia,Cerebrum,119
71,H27474_Cerebrum-1_SRR12575329_In-Neurons,0.797526180348,H27474,In-Neurons,Cerebrum,89
72,H27471_Cerebellum-2_SRR12508219_Oligodendrocytes,0.626059516683,H27471,Oligodendrocytes,Cerebellum,110
73,H27474_Cerebrum-2_SRR12575330_Neurons,0.851125111406,H27474,Neurons,Cerebrum,89
74,H27098_Cerebrum_SRR12355426_Vascular-Endo,0.630581458815,H27098,Vascular-Endo,Cerebrum,120
75,H27471_Cerebrum_SRR12355458_Microglia,0.47415247465,H27471,Microglia,Cerebrum,110
76,H27474_Cerebrum-3B_SRR12904120_Blood-Cells,0.79185520362,H27474,Blood-Cells,Cerebrum,89
77,H27423_Cerebrum_SRR12355434_In-Neurons,0.933724255367,H27423,In-Neurons,Cerebrum,115
78,H27474_Cerebrum-4_SRR12575332_Oligodendrocytes,0.619810781102,H27474,Oligodendrocytes,Cerebrum,89
79,H27477_Cerebellum-2_SRR12554979_In-Neurons,1.01893720322,H27477,In-Neurons,Cerebellum,125
80,H27464_Cerebrum_SRR12355450_Neurons,1.22393208717,H27464,Neurons,Cerebrum,122
81,H27464_Cerebrum_SRR12355450_Vascular-Endo,0.856419354693,H27464,Vascular-Endo,Cerebrum,122
82,H27474_Cerebellum_SRR12355483_Ex-Neurons,0.621199261906,H27474,Ex-Neurons,Cerebellum,89
83,H27471_Cerebellum-2_SRR12508219_Neurons,0.902320414919,H27471,Neurons,Cerebellum,110
84,H27634_Cerebellum_SRR12355497_Ex-Neurons,0.782880319092,H27634,Ex-Neurons,Cerebellum,115
85,H27474_Cerebellum_SRR12355483_Neurons,0.764125576746,H27474,Neurons,Cerebellum,89
86,H27423_Cerebrum_SRR12355434_Neurons,1.20752334568,H27423,Neurons,Cerebrum,115
87,H27471_Cerebellum-4_SRR12508221_Astrocytes,0.754525139284,H27471,Astrocytes,Cerebellum,110
88,H27431_Cerebrum_SRR12355440_Microglia,0.509770603229,H27431,Microglia,Cerebrum,110
89,H27477_Cerebellum-4_SRR12554981_Vascular-Endo,0.791276604585,H27477,Vascular-Endo,Cerebellum,125
90,H27474_Cerebrum-2_SRR12575330_Blood-Cells,0.585449282989,H27474,Blood-Cells,Cerebrum,89
91,H27477_Cerebellum-4_SRR12554981_In-Interneurons,0.799821082109,H27477,In-Interneurons,Cerebellum,125
92,H27471_Cerebellum-4_SRR12508221_Neurons,0.9337411129,H27471,Neurons,Cerebellum,110
93,H27477_Cerebellum-4_SRR12554981_Ex-Neurons,0.863578496856,H27477,Ex-Neurons,Cerebellum,125
