Sample	Gene	TPM
v1_nomultiseg_2113sTS_Human_Heart_11w_Male_nomultiseg_bam	ADAR	104.982443025319
v1_nomultiseg_3571sTS_Human_Forebrain_CS20_Female_nomultiseg_bam	ADAR	210.47309479271
v1_nomultiseg_3572sTS_Human_Hindbrain_CS20_Female_nomultiseg_bam	ADAR	213.877103652686
v1_nomultiseg_3573sTS_Human_Heart_CS20_Female_nomultiseg_bam	ADAR	173.421384097723
v1_nomultiseg_3574sTS_Human_Liver_CS20_Female_nomultiseg_bam	ADAR	172.024931551308
v1_nomultiseg_3575sTS_Human_Ovary_CS20_Female_nomultiseg_bam	ADAR	238.919581899244
v1_nomultiseg_3585sTS_Human_Heart_12w_Female_nomultiseg_bam	ADAR	43.0823329736503
v1_nomultiseg_3586sTS_Human_Heart_CS14_Female_nomultiseg_bam	ADAR	165.168923944943
v1_nomultiseg_3587sTS_Human_Forebrain_CS13_Male_nomultiseg_bam	ADAR	221.505595905935
v1_nomultiseg_3588sTS_Human_Heart_CS13_Male_nomultiseg_bam	ADAR	205.189694054109
v1_nomultiseg_3589sTS_Human_Liver_CS13_Male_nomultiseg_bam	ADAR	198.700401926706
v1_nomultiseg_3590sTS_Human_Testis_CS13_Male_nomultiseg_bam	ADAR	220.80610582819
v1_nomultiseg_3636sTS_Human_Forebrain_CS21_Male_nomultiseg_bam	ADAR	222.126613725413
v1_nomultiseg_3637sTS_Human_Hindbrain_CS21_Male_nomultiseg_bam	ADAR	225.357609551774
v1_nomultiseg_3638sTS_Human_Heart_CS21_Male_nomultiseg_bam	ADAR	163.892277537578
v1_nomultiseg_3639sTS_Human_Liver_CS21_Male_nomultiseg_bam	ADAR	177.340783712063
v1_nomultiseg_3640sTS_Human_Testis_CS21_Male_nomultiseg_bam	ADAR	205.951271749758
v1_nomultiseg_3641sTS_Human_Liver_CS19_Male_nomultiseg_bam	ADAR	179.424988168966
v1_nomultiseg_3642sTS_Human_Testis_CS19_Male_nomultiseg_bam	ADAR	212.625976819218
v1_nomultiseg_3643sTS_Human_Heart_11w_Female_nomultiseg_bam	ADAR	138.781227193916
v1_nomultiseg_3644sTS_Human_Ovary_11w_Female_nomultiseg_bam	ADAR	222.988206435883
v1_nomultiseg_3653sTS_Human_Hindbrain_10w_Male_nomultiseg_bam	ADAR	193.535297092135
v1_nomultiseg_3654sTS_Human_Liver_10w_Male_nomultiseg_bam	ADAR	139.091271789242
v1_nomultiseg_3655sTS_Human_Testis_10w_Male_nomultiseg_bam	ADAR	188.895273930038
v1_nomultiseg_3668sTS_Human_Hindbrain_11w_Male_nomultiseg_bam	ADAR	191.866612524103
v1_nomultiseg_3669sTS_Human_Forebrain_CS16_Male_nomultiseg_bam	ADAR	217.270422909015
v1_nomultiseg_3670sTS_Human_Hindbrain_CS16_Male_nomultiseg_bam	ADAR	211.469184838078
v1_nomultiseg_3671sTS_Human_Heart_CS16_Male_nomultiseg_bam	ADAR	192.970267084821
v1_nomultiseg_3672sTS_Human_Hindbrain_CS18_Male_nomultiseg_bam	ADAR	213.730207103833
v1_nomultiseg_3674sTS_Human_Hindbrain_CS17_Female_nomultiseg_bam	ADAR	189.318133192482
v1_nomultiseg_3675sTS_Human_Heart_CS17_Female_nomultiseg_bam	ADAR	188.758279693315
